name,org,school,company,industry
Todd Wagner,Kappa Sigma (F),"Indiana University, Bloomington","Broadcast.com, formerly Audionet",Technology
William Hewlett,Kappa Sigma (F),Stanford University,Hewlett-Packard,Technology
Willard F. Rockwell,Kappa Sigma (F),Pennsylvania State University,Rockwell International,Manufacturing
Richard Johnson,Kappa Sigma (F),Bucknell University,"Yahoo HotJobs, formerly hotjobs.com",Professional/Business Services
John Laborde,Kappa Sigma (F),Louisiana State University,Tidewater,Utilities/Energy
Reggie Brown,Kappa Sigma (F),Stanford University,Snapchat,Technology
Bobby Murphy,Kappa Sigma (F),Stanford University,Snapchat,Technology
Evan Spiegel,Kappa Sigma (F),Stanford University,Snapchat,Technology
Talmage Cooley,Kappa Sigma (F),University of Virginia,Democracy.com,Other
Nate Morris,Kappa Sigma (F),George Washington University,Rubicon Global,Utilities/Energy
Russel Wiener,Kappa Sigma (F),Rhodes College,"Panini America, formerly Donruss",Sports
Denton Cooley,Kappa Sigma (F),"University of Texas, Austin",Texas Heart Institute,Health
James Beckett,Lambda Chi Alpha (F),Southern Methodist University,"Beckett Media, former Beckett Publications",Media
Dale Carlsen,Lambda Chi Alpha (F),Sacramento State University,The Sleep Train,Retail
William T. Dillard,Lambda Chi Alpha (F),University of Arkansas,Dillard's Department Store,Retail
Bill McCormick,Lambda Chi Alpha (F),Boston University,McCormick & Schmick's Seafood Restaurants,Food/Beverage
Brian Robison,Lambda Chi Alpha (F),Ferris State University,editorr,Professional/Business Services
Jose Espejo,Lambda Theta Phi (F),University of Central Florida,Quatro Solutions,Education
Gabriel Castillo,Lambda Theta Phi (F),University of Central Florida,Vasanta Solutions,Professional/Business Services
Wilson Camelo,Lambda Theta Phi (F),University of Connecticut,Camelo Communication,Professional/Business Services
Carlos Perez,Lambda Theta Phi (F),University of Connecticut,Perez Technology Group,Technology
Brian Kovener,Lambda Theta Phi (F),University of Central Florida,VUE Magazine,Media
Steve O. Hernandez,Lambda Theta Phi (F),Nova Southeastern University,TripleHelix Technologies,Professional/Business Services
Andrew F. Ortiz,Omega Delta Phi (F),Arizona State University,Ortiz Leadership Systems,Professional/Business Services
Gaius George,Omega Delta Phi (F),University of Oklahoma,Gaius George Design & Photography,Professional/Business Services
Danny Rivera,Omega Delta Phi (F),"University of Texas, Arlington",Arlington Strength & Conditioning,Health
Steve B. Hernandez,Omega Delta Phi (F),Texas States University,Saba Fitness,Health
Lupe Ozuna,Omega Delta Phi (F),"University of Texas, Arlington",Ozuna Fine Jewelry,Retail
Jesse Jackson,Omega Psi Phi (F),"University of Illinois, Urbana-Champaign",National Rainbow Coalition,Law
Herman J Russell,Phi Beta Sigma (F),Tuskegee University,H.J. Russell & Company Construction,Construction
Jonn A. Kenny,Phi Beta Sigma (F),N/A,Journal of the National Medical Association,Health
George D. Thorne,Phi Beta Sigma (F),N/A,Mount Morris Park Hospital,Health
Harrison Claud,Phi Delta Theta (F),Washington and Lee University,Colonnade Capital,Finance
Tim Collins,Phi Delta Theta (F),DePauw University,Ripplewood Holdings,Finance
William H. Danforth,Phi Delta Theta (F),"Washington University, St. Louis",Ralston Purina,Retail
William F. Harrah,Phi Delta Theta (F),"University of California, Los Angeles",Harrah's Hotel and Casinos,Leisure/Hospitality
Drew Houston,Phi Delta Theta (F),Massachusetts Institute of Technology,DropBox,Technology
Wesley Lambert,Phi Delta Theta (F),Emory University,Velocity,Manufacturing
John Willard Marriott,Phi Delta Theta (F),University of Utah,"Marriott Corporation, formerly Hot Shoppe",Leisure/Hospitality
James McLamore,Phi Delta Theta (F),Cornell University,Burger King,Food/Beverage
Hermon Scott,Phi Delta Theta (F),Massachusetts Institute of Technology,"H.H. Scott, Inc.",Utilities/Energy
Mark Suster,Phi Delta Theta (F),"University of California, San Diego",BuildOnline.com,Technology
Ralph C. Wilson Jr.,Phi Delta Theta (F),University of Virginia,Buffalo Bills,Sports
Brock Pemberton,Phi Delta Theta (F),College of Emporia,Tony Awards,Entertainment
Phil Walden,Phi Delta Theta (F),Mercer University,Capricorn Records,Entertainment
Kevin Hartz,Phi Delta Theta (F),Stanford University,EventBrite,Leisure/Hospitality
Jess Jackson,Phi Gamma Delta (F),"University of California, Berkeley",Kendall-Jackson,Food/Beverage
Phil Knight,Phi Gamma Delta (F),University of Oregon,Nike,Retail
Edmund C. Lynch,Phi Gamma Delta (F),Johns Hopkins University,Merrill Lynch,Finance
Patrick McGovern,Phi Gamma Delta (F),Massachusetts Institute of Technology,International Data Group,Health
Chet Upham,Phi Gamma Delta (F),"University of Texas, Austin",Upham Oil and Gas,Utilities/Energy
Ralph Morgan,Phi Gamma Delta (F),Columbia University,Screen Actors Guild,Entertainment
Brian Lamb,Phi Gamma Delta (F),Purdue University,C-SPAN,Media
Roger Penske,Phi Gamma Delta (F),Lehigh University,Championship Auto Racing Teams,Sports
Edmund J. James,Phi Kappa Psi (F),Harvard University,American Academy of Political and Social Science,Education
Herbert Dow,Phi Kappa Psi (F),Case Western Reserve University,Dow Chemical Company,Manufacturing
Bill Gross,Phi Kappa Psi (F),Duke University,PIMCO,Finance
Jerry Nelson,Phi Kappa Psi (F),"University of California, Los Angeles",Ticketmaster,Leisure/Hospitality
Warren Hellman,Phi Kappa Psi (F),"University of California, Berkeley",Hellman & Friedman,Finance
Orra E. Monnette,Phi Kappa Psi (F),Ohio Wesleyan University,Bank of America,Finance
"Angus G. Wynne, Jr.",Phi Kappa Psi (F),"University of Texas, Austin",Six Flags,Leisure/Hospitality
Jerry Yang,Phi Kappa Psi (F),Stanford University,Yahoo!,Technology
Michael Bloomberg,Phi Kappa Psi (F),Johns Hopkins University,Bloomberg,Finance
David Nolan,Phi Kappa Sigma (F),Massachusetts Institute of Technology,US Libertarian Party,Other
Vernon E. Altman,Phi Kappa Sigma (F),Massachusetts Institute of Technology,Bain & Company,Professional/Business Services
Roman F. Arnoldy,Phi Kappa Sigma (F),University of Minnesota,Triten Corporation,Utilities/Energy
Robert Buuck,Phi Kappa Sigma (F),University of Minnesota,American Medical Systems,Health
Mendel Rosenblum,Phi Kappa Sigma (F),University of Virginia,VMware,Technology
George O. Bierkoe,Phi Kappa Tau (F),Muhlenberg College,Endicott College,Education
Charles F. Chapman,Phi Kappa Tau (F),Cornell University,Charles F. Chapman School of Seamanship,Education
Paul Allen,Phi Kappa Theta (F),Washington State,Microsoft,Technology
David Hersh,Phi Kappa Theta (F),Carnegie Mellon,"Commissioner.com, Multiply, Glip",Technology
Peter Pezaris,Phi Kappa Theta (F),Carnegie Mellon,"Commissioner.com, Multiply, Glip",Technology
James Price,Phi Kappa Theta (F),Carnegie Mellon,"Commissioner.com, Multiply, Glip",Technology
Michael Gersh,Phi Kappa Theta (F),Carnegie Mellon,"Commissioner.com, Multiply, Glip",Technology
Paul Goodman,Phi Kappa Theta (F),San Diego State,PuraVida Bracelets,Retail
Tom Moore,Phi Kappa Theta (F),George Mason University,ROCS,Professional/Business Services
Paul Galvin,Phi Kappa Theta (F),Illinois Institute of Technology,Motorola,Technology
John Rigas,Phi Mu Delta (F),Rensselaer Polytechnic Institute,Adelphia Communications Corporation,Media
Nathan Church,Phi Sigma Phi (F),Wright State University,On Track Wellness,Health
Shawn H. Head,Phi Sigma Phi (F),Central Michigan University,"The Head Law Firm, PLC",Law
Bill Bain,Pi Kappa Alpha (F),Vanderbilt University,Bain & Company,Professional/Business Services
Jeff Taylor,Pi Kappa Alpha (F),"University of Massachusetts, Amherst",Monster.com,Professional/Business Services
Nolan Bushnell,Pi Kappa Alpha (F),University of Utah,"Atari, Chuck E. Cheese's",Leisure/Hospitality
John Wirtz,Pi Kappa Alpha (F),University of Nebraska,Hudl,Technology
Brian Kaiser,Pi Kappa Alpha (F),University of Nebraska,Hudl,Technology
David Graff,Pi Kappa Alpha (F),University of Nebraska,Hudl,Technology
